 series | year |      average       
--------+------+--------------------
 UNRATE | 1980 | 7.1750000000000000
 UNRATE | 1981 | 7.6166666666666667
 UNRATE | 1982 | 9.7083333333333333
 UNRATE | 1983 | 9.6000000000000000
 UNRATE | 1984 | 7.5083333333333333
 UNRATE | 1985 | 7.1916666666666667
 UNRATE | 1986 | 7.0000000000000000
 UNRATE | 1987 | 6.1750000000000000
 UNRATE | 1988 | 5.4916666666666667
 UNRATE | 1989 | 5.2583333333333333
 UNRATE | 1990 | 5.6166666666666667
 UNRATE | 1991 | 6.8500000000000000
 UNRATE | 1992 | 7.4916666666666667
 UNRATE | 1993 | 6.9083333333333333
 UNRATE | 1994 | 6.1000000000000000
 UNRATE | 1995 | 5.5916666666666667
 UNRATE | 1996 | 5.4083333333333333
 UNRATE | 1997 | 4.9416666666666667
 UNRATE | 1998 | 4.5000000000000000
 UNRATE | 1999 | 4.2166666666666667
 UNRATE | 2000 | 3.9666666666666667
 UNRATE | 2001 | 4.7416666666666667
 UNRATE | 2002 | 5.7833333333333333
 UNRATE | 2003 | 5.9916666666666667
 UNRATE | 2004 | 5.5416666666666667
 UNRATE | 2005 | 5.0833333333333333
 UNRATE | 2006 | 4.6083333333333333
 UNRATE | 2007 | 4.6166666666666667
 UNRATE | 2008 | 5.8000000000000000
 UNRATE | 2009 | 9.2833333333333333
 UNRATE | 2010 | 9.6083333333333333
 UNRATE | 2011 | 8.9333333333333333
 UNRATE | 2012 | 8.0750000000000000
 UNRATE | 2013 | 7.3750000000000000
 UNRATE | 2014 | 6.1666666666666667
 UNRATE | 2015 | 5.2833333333333333
(36 rows)

